id_jurisdiccion,jurisdiccion,id_finalidad,finalidad,id_funcion,funcion,monto,porcentaje
65,Ministerio De Desarrollo Economico,1,AdmInistración Gubernamental,3,Dirección Ejecutiva,156842465,7,162
68,Ministerio De Modernización,1,AdmInistración Gubernamental,3,Dirección Ejecutiva,491600033,22,448
90,Secretaria De Gestion Comunal Y Atención Ciudadana,1,AdmInistración Gubernamental,3,Dirección Ejecutiva,424945918,19,405
98,Servicio De La Deuda Publica,1,AdmInistración Gubernamental,3,Dirección Ejecutiva,0,0
99,Obligaciones A Cargo Del Tesoro,1,AdmInistración Gubernamental,3,Dirección Ejecutiva,252777228,11,543
1,Legislatura De La Ciudad De Buenos Aires,1,AdmInistración Gubernamental,4,Relaciones Internas,0,0
2,Auditoria General De La Ciudad De Buenos Aires,1,AdmInistración Gubernamental,4,Relaciones Internas,0,0
3,Defensoria Del Pueblo,1,AdmInistración Gubernamental,4,Relaciones Internas,0,0
5,Ministerio Publico,1,AdmInistración Gubernamental,4,Relaciones Internas,0,0
6,Tribunal Superior De Justicia,1,AdmInistración Gubernamental,4,Relaciones Internas,0,0
7,Consejo De La Magistratura,1,AdmInistración Gubernamental,4,Relaciones Internas,0,0
8,Sindicatura General De La Ciudad De Buenos Aires,1,AdmInistración Gubernamental,4,Relaciones Internas,0,0
9,Procuracion General De La Ciudad,1,AdmInistración Gubernamental,4,Relaciones Internas,0,0
20,Jefatura De Gobierno,1,AdmInistración Gubernamental,4,Relaciones Internas,0,0
21,Jefatura De Gabinete De Ministros,1,AdmInistración Gubernamental,4,Relaciones Internas,32585070,100
26,Ministerio De Justicia Y Seguridad,1,AdmInistración Gubernamental,4,Relaciones Internas,0,0
28,Ministerio De Gobierno,1,AdmInistración Gubernamental,4,Relaciones Internas,0,0
30,Ministerio De Desarrollo Urbano,1,AdmInistración Gubernamental,4,Relaciones Internas,0,0
35,Ministerio De Ambiente Y Espacio Publico,1,AdmInistración Gubernamental,4,Relaciones Internas,0,0
40,Ministerio De Salud,1,AdmInistración Gubernamental,4,Relaciones Internas,0,0
45,Ministerio De Desarrollo Social,1,AdmInistración Gubernamental,4,Relaciones Internas,0,0
50,Ministerio De Cultura,1,AdmInistración Gubernamental,4,Relaciones Internas,0,0
55,Ministerio De Educacion,1,AdmInistración Gubernamental,4,Relaciones Internas,0,0
60,Ministerio De Hacienda,1,AdmInistración Gubernamental,4,Relaciones Internas,0,0
65,Ministerio De Desarrollo Economico,1,AdmInistración Gubernamental,4,Relaciones Internas,0,0
68,Ministerio De Modernización,1,AdmInistración Gubernamental,4,Relaciones Internas,0,0
90,Secretaria De Gestion Comunal Y Atención Ciudadana,1,AdmInistración Gubernamental,4,Relaciones Internas,0,0
98,Servicio De La Deuda Publica,1,AdmInistración Gubernamental,4,Relaciones Internas,0,0
99,Obligaciones A Cargo Del Tesoro,1,AdmInistración Gubernamental,4,Relaciones Internas,0,0
2,Auditoria General De La Ciudad De Buenos Aires,1,AdmInistración Gubernamental,5,Administración Fiscal,0,0
3,Defensoria Del Pueblo,1,AdmInistración Gubernamental,5,Administración Fiscal,0,0
5,Ministerio Publico,1,AdmInistración Gubernamental,5,Administración Fiscal,0,0
6,Tribunal Superior De Justicia,1,AdmInistración Gubernamental,5,Administración Fiscal,0,0
7,Consejo De La Magistratura,1,AdmInistración Gubernamental,5,Administración Fiscal,0,0
8,Sindicatura General De La Ciudad De Buenos Aires,1,AdmInistración Gubernamental,5,Administración Fiscal,0,0
9,Procuracion General De La Ciudad,1,AdmInistración Gubernamental,5,Administración Fiscal,0,0
20,Jefatura De Gobierno,1,AdmInistración Gubernamental,5,Administración Fiscal,0,0
21,Jefatura De Gabinete De Ministros,1,AdmInistración Gubernamental,5,Administración Fiscal,0,0
26,Ministerio De Justicia Y Seguridad,1,AdmInistración Gubernamental,5,Administración Fiscal,0,0
28,Ministerio De Gobierno,1,AdmInistración Gubernamental,5,Administración Fiscal,0,0
30,Ministerio De Desarrollo Urbano,1,AdmInistración Gubernamental,5,Administración Fiscal,0,0
35,Ministerio De Ambiente Y Espacio Publico,1,AdmInistración Gubernamental,5,Administración Fiscal,0,0
40,Ministerio De Salud,1,AdmInistración Gubernamental,5,Administración Fiscal,0,0
45,Ministerio De Desarrollo Social,1,AdmInistración Gubernamental,5,Administración Fiscal,0,0
50,Ministerio De Cultura,1,AdmInistración Gubernamental,5,Administración Fiscal,0,0
55,Ministerio De Educacion,1,AdmInistración Gubernamental,5,Administración Fiscal,0,0
60,Ministerio De Hacienda,1,AdmInistración Gubernamental,5,Administración Fiscal,1172453247,93,162
65,Ministerio De Desarrollo Economico,1,AdmInistración Gubernamental,5,Administración Fiscal,0,0
68,Ministerio De Modernización,1,AdmInistración Gubernamental,5,Administración Fiscal,0,0
90,Secretaria De Gestion Comunal Y Atención Ciudadana,1,AdmInistración Gubernamental,5,Administración Fiscal,0,0
98,Servicio De La Deuda Publica,1,AdmInistración Gubernamental,5,Administración Fiscal,0,0
99,Obligaciones A Cargo Del Tesoro,1,AdmInistración Gubernamental,5,Administración Fiscal,86053380,6,838
1,Legislatura De La Ciudad De Buenos Aires,1,AdmInistración Gubernamental,5,Administración Fiscal,0,0
1,Legislatura De La Ciudad De Buenos Aires,1,AdmInistración Gubernamental,6,Control de Gestión,0,0
2,Auditoria General De La Ciudad De Buenos Aires,1,AdmInistración Gubernamental,6,Control de Gestión,228110755,32,12
3,Defensoria Del Pueblo,1,AdmInistración Gubernamental,6,Control de Gestión,255500000,35,977
5,Ministerio Publico,1,AdmInistración Gubernamental,6,Control de Gestión,0,0
6,Tribunal Superior De Justicia,1,AdmInistración Gubernamental,6,Control de Gestión,0,0
7,Consejo De La Magistratura,1,AdmInistración Gubernamental,6,Control de Gestión,0,0
8,Sindicatura General De La Ciudad De Buenos Aires,1,AdmInistración Gubernamental,6,Control de Gestión,51570086,7,262
9,Procuracion General De La Ciudad,1,AdmInistración Gubernamental,6,Control de Gestión,0,0
20,Jefatura De Gobierno,1,AdmInistración Gubernamental,6,Control de Gestión,130024366,18,309
21,Jefatura De Gabinete De Ministros,1,AdmInistración Gubernamental,6,Control de Gestión,5259520,0,741
26,Ministerio De Justicia Y Seguridad,1,AdmInistración Gubernamental,6,Control de Gestión,0,0
28,Ministerio De Gobierno,1,AdmInistración Gubernamental,6,Control de Gestión,0,0
30,Ministerio De Desarrollo Urbano,1,AdmInistración Gubernamental,6,Control de Gestión,0,0
35,Ministerio De Ambiente Y Espacio Publico,1,AdmInistración Gubernamental,6,Control de Gestión,0,0
40,Ministerio De Salud,1,AdmInistración Gubernamental,6,Control de Gestión,0,0
45,Ministerio De Desarrollo Social,1,AdmInistración Gubernamental,6,Control de Gestión,0,0
50,Ministerio De Cultura,1,AdmInistración Gubernamental,6,Control de Gestión,0,0
55,Ministerio De Educacion,1,AdmInistración Gubernamental,6,Control de Gestión,0,0
60,Ministerio De Hacienda,1,AdmInistración Gubernamental,6,Control de Gestión,0,0
65,Ministerio De Desarrollo Economico,1,AdmInistración Gubernamental,6,Control de Gestión,0,0
68,Ministerio De Modernización,1,AdmInistración Gubernamental,6,Control de Gestión,0,0
90,Secretaria De Gestion Comunal Y Atención Ciudadana,1,AdmInistración Gubernamental,6,Control de Gestión,0,0
98,Servicio De La Deuda Publica,1,AdmInistración Gubernamental,6,Control de Gestión,0,0
99,Obligaciones A Cargo Del Tesoro,1,AdmInistración Gubernamental,6,Control de Gestión,39716796,5,592
1,Legislatura De La Ciudad De Buenos Aires,5,Deuda Pública - Intereses y Gastos,7,Deuda Pública - Intereses y Gastos,0,0
2,Auditoria General De La Ciudad De Buenos Aires,5,Deuda Pública - Intereses y Gastos,7,Deuda Pública - Intereses y Gastos,0,0
3,Defensoria Del Pueblo,5,Deuda Pública - Intereses y Gastos,7,Deuda Pública - Intereses y Gastos,0,0
5,Ministerio Publico,5,Deuda Pública - Intereses y Gastos,7,Deuda Pública - Intereses y Gastos,0,0
6,Tribunal Superior De Justicia,5,Deuda Pública - Intereses y Gastos,7,Deuda Pública - Intereses y Gastos,0,0
7,Consejo De La Magistratura,5,Deuda Pública - Intereses y Gastos,7,Deuda Pública - Intereses y Gastos,0,0
8,Sindicatura General De La Ciudad De Buenos Aires,5,Deuda Pública - Intereses y Gastos,7,Deuda Pública - Intereses y Gastos,0,0
9,Procuracion General De La Ciudad,5,Deuda Pública - Intereses y Gastos,7,Deuda Pública - Intereses y Gastos,0,0
20,Jefatura De Gobierno,5,Deuda Pública - Intereses y Gastos,7,Deuda Pública - Intereses y Gastos,0,0
21,Jefatura De Gabinete De Ministros,5,Deuda Pública - Intereses y Gastos,7,Deuda Pública - Intereses y Gastos,0,0
26,Ministerio De Justicia Y Seguridad,5,Deuda Pública - Intereses y Gastos,7,Deuda Pública - Intereses y Gastos,0,0
28,Ministerio De Gobierno,5,Deuda Pública - Intereses y Gastos,7,Deuda Pública - Intereses y Gastos,0,0
30,Ministerio De Desarrollo Urbano,5,Deuda Pública - Intereses y Gastos,7,Deuda Pública - Intereses y Gastos,0,0
35,Ministerio De Ambiente Y Espacio Publico,5,Deuda Pública - Intereses y Gastos,7,Deuda Pública - Intereses y Gastos,0,0
40,Ministerio De Salud,5,Deuda Pública - Intereses y Gastos,7,Deuda Pública - Intereses y Gastos,0,0
45,Ministerio De Desarrollo Social,5,Deuda Pública - Intereses y Gastos,7,Deuda Pública - Intereses y Gastos,0,0
50,Ministerio De Cultura,5,Deuda Pública - Intereses y Gastos,7,Deuda Pública - Intereses y Gastos,0,0
55,Ministerio De Educacion,5,Deuda Pública - Intereses y Gastos,7,Deuda Pública - Intereses y Gastos,0,0
60,Ministerio De Hacienda,5,Deuda Pública - Intereses y Gastos,7,Deuda Pública - Intereses y Gastos,0,0
65,Ministerio De Desarrollo Economico,5,Deuda Pública - Intereses y Gastos,7,Deuda Pública - Intereses y Gastos,0,0
68,Ministerio De Modernización,5,Deuda Pública - Intereses y Gastos,7,Deuda Pública - Intereses y Gastos,0,0
90,Secretaria De Gestion Comunal Y Atención Ciudadana,5,Deuda Pública - Intereses y Gastos,7,Deuda Pública - Intereses y Gastos,0,0
98,Servicio De La Deuda Publica,5,Deuda Pública - Intereses y Gastos,7,Deuda Pública - Intereses y Gastos,1396095683,100
99,Obligaciones A Cargo Del Tesoro,5,Deuda Pública - Intereses y Gastos,7,Deuda Pública - Intereses y Gastos,0,0
1,Legislatura De La Ciudad De Buenos Aires,2,Servicios de Seguridad,8,Seguridad Pública,0,0
2,Auditoria General De La Ciudad De Buenos Aires,2,Servicios de Seguridad,8,Seguridad Pública,0,0
3,Defensoria Del Pueblo,2,Servicios de Seguridad,8,Seguridad Pública,0,0
5,Ministerio Publico,2,Servicios de Seguridad,8,Seguridad Pública,0,0
6,Tribunal Superior De Justicia,2,Servicios de Seguridad,8,Seguridad Pública,0,0
7,Consejo De La Magistratura,2,Servicios de Seguridad,8,Seguridad Pública,0,0
8,Sindicatura General De La Ciudad De Buenos Aires,2,Servicios de Seguridad,8,Seguridad Pública,0,0
9,Procuracion General De La Ciudad,2,Servicios de Seguridad,8,Seguridad Pública,0,0
20,Jefatura De Gobierno,2,Servicios de Seguridad,8,Seguridad Pública,0,0
21,Jefatura De Gabinete De Ministros,2,Servicios de Seguridad,8,Seguridad Pública,0,0
26,Ministerio De Justicia Y Seguridad,2,Servicios de Seguridad,8,Seguridad Pública,2550794675,94,871
28,Ministerio De Gobierno,2,Servicios de Seguridad,8,Seguridad Pública,0,0
30,Ministerio De Desarrollo Urbano,2,Servicios de Seguridad,8,Seguridad Pública,0,0
35,Ministerio De Ambiente Y Espacio Publico,2,Servicios de Seguridad,8,Seguridad Pública,0,0
40,Ministerio De Salud,2,Servicios de Seguridad,8,Seguridad Pública,0,0
45,Ministerio De Desarrollo Social,2,Servicios de Seguridad,8,Seguridad Pública,0,0
50,Ministerio De Cultura,2,Servicios de Seguridad,8,Seguridad Pública,0,0
55,Ministerio De Educacion,2,Servicios de Seguridad,8,Seguridad Pública,0,0
60,Ministerio De Hacienda,2,Servicios de Seguridad,8,Seguridad Pública,0,0
65,Ministerio De Desarrollo Economico,2,Servicios de Seguridad,8,Seguridad Pública,0,0
68,Ministerio De Modernización,2,Servicios de Seguridad,8,Seguridad Pública,0,0
90,Secretaria De Gestion Comunal Y Atención Ciudadana,2,Servicios de Seguridad,8,Seguridad Pública,0,0
98,Servicio De La Deuda Publica,2,Servicios de Seguridad,8,Seguridad Pública,0,0
99,Obligaciones A Cargo Del Tesoro,2,Servicios de Seguridad,8,Seguridad Pública,137911108,5,129
1,Legislatura De La Ciudad De Buenos Aires,4,Servicios Económicos,9,Transporte,0,0
2,Auditoria General De La Ciudad De Buenos Aires,4,Servicios Económicos,9,Transporte,0,0
3,Defensoria Del Pueblo,4,Servicios Económicos,9,Transporte,0,0
5,Ministerio Publico,4,Servicios Económicos,9,Transporte,0,0
6,Tribunal Superior De Justicia,4,Servicios Económicos,9,Transporte,0,0
7,Consejo De La Magistratura,4,Servicios Económicos,9,Transporte,0,0
8,Sindicatura General De La Ciudad De Buenos Aires,4,Servicios Económicos,9,Transporte,0,0
9,Procuracion General De La Ciudad,4,Servicios Económicos,9,Transporte,0,0
20,Jefatura De Gobierno,4,Servicios Económicos,9,Transporte,0,0
21,Jefatura De Gabinete De Ministros,4,Servicios Económicos,9,Transporte,2162635138,78,428
26,Ministerio De Justicia Y Seguridad,4,Servicios Económicos,9,Transporte,0,0
28,Ministerio De Gobierno,4,Servicios Económicos,9,Transporte,0,0
30,Ministerio De Desarrollo Urbano,4,Servicios Económicos,9,Transporte,579193960,21,004
35,Ministerio De Ambiente Y Espacio Publico,4,Servicios Económicos,9,Transporte,0,0
40,Ministerio De Salud,4,Servicios Económicos,9,Transporte,0,0
45,Ministerio De Desarrollo Social,4,Servicios Económicos,9,Transporte,0,0
50,Ministerio De Cultura,4,Servicios Económicos,9,Transporte,0,0
55,Ministerio De Educacion,4,Servicios Económicos,9,Transporte,0,0
60,Ministerio De Hacienda,4,Servicios Económicos,9,Transporte,0,0
65,Ministerio De Desarrollo Economico,4,Servicios Económicos,9,Transporte,0,0
68,Ministerio De Modernización,4,Servicios Económicos,9,Transporte,0,0
90,Secretaria De Gestion Comunal Y Atención Ciudadana,4,Servicios Económicos,9,Transporte,0,0
98,Servicio De La Deuda Publica,4,Servicios Económicos,9,Transporte,0,0
99,Obligaciones A Cargo Del Tesoro,4,Servicios Económicos,9,Transporte,15662620,0,568
1,Legislatura De La Ciudad De Buenos Aires,4,Servicios Económicos,10,Ecolog¡a,0,0
2,Auditoria General De La Ciudad De Buenos Aires,4,Servicios Económicos,10,Ecolog¡a,0,0
3,Defensoria Del Pueblo,4,Servicios Económicos,10,Ecolog¡a,0,0
5,Ministerio Publico,4,Servicios Económicos,10,Ecolog¡a,0,0
6,Tribunal Superior De Justicia,4,Servicios Económicos,10,Ecolog¡a,0,0
7,Consejo De La Magistratura,4,Servicios Económicos,10,Ecolog¡a,0,0
8,Sindicatura General De La Ciudad De Buenos Aires,4,Servicios Económicos,10,Ecolog¡a,0,0
9,Procuracion General De La Ciudad,4,Servicios Económicos,10,Ecolog¡a,0,0
20,Jefatura De Gobierno,4,Servicios Económicos,10,Ecolog¡a,0,0
21,Jefatura De Gabinete De Ministros,4,Servicios Económicos,10,Ecolog¡a,8429840,0,825
26,Ministerio De Justicia Y Seguridad,4,Servicios Económicos,10,Ecolog¡a,0,0
28,Ministerio De Gobierno,4,Servicios Económicos,10,Ecolog¡a,0,0
30,Ministerio De Desarrollo Urbano,4,Servicios Económicos,10,Ecolog¡a,0,0
35,Ministerio De Ambiente Y Espacio Publico,4,Servicios Económicos,10,Ecolog¡a,739582020,72,404
40,Ministerio De Salud,4,Servicios Económicos,10,Ecolog¡a,0,0
45,Ministerio De Desarrollo Social,4,Servicios Económicos,10,Ecolog¡a,0,0
50,Ministerio De Cultura,4,Servicios Económicos,10,Ecolog¡a,0,0
55,Ministerio De Educacion,4,Servicios Económicos,10,Ecolog¡a,0,0
60,Ministerio De Hacienda,4,Servicios Económicos,10,Ecolog¡a,0,0
65,Ministerio De Desarrollo Economico,4,Servicios Económicos,10,Ecolog¡a,329382,0,032
68,Ministerio De Modernización,4,Servicios Económicos,10,Ecolog¡a,0,0
90,Secretaria De Gestion Comunal Y Atención Ciudadana,4,Servicios Económicos,10,Ecolog¡a,259915000,25,445
98,Servicio De La Deuda Publica,4,Servicios Económicos,10,Ecolog¡a,0,0
99,Obligaciones A Cargo Del Tesoro,4,Servicios Económicos,10,Ecolog¡a,13204696,1,293
1,Legislatura De La Ciudad De Buenos Aires,4,Servicios Económicos,11,Turismo,0,0
2,Auditoria General De La Ciudad De Buenos Aires,4,Servicios Económicos,11,Turismo,0,0
3,Defensoria Del Pueblo,4,Servicios Económicos,11,Turismo,0,0
5,Ministerio Publico,4,Servicios Económicos,11,Turismo,0,0
6,Tribunal Superior De Justicia,4,Servicios Económicos,11,Turismo,0,0
7,Consejo De La Magistratura,4,Servicios Económicos,11,Turismo,0,0
8,Sindicatura General De La Ciudad De Buenos Aires,4,Servicios Económicos,11,Turismo,0,0
9,Procuracion General De La Ciudad,4,Servicios Económicos,11,Turismo,0,0
20,Jefatura De Gobierno,4,Servicios Económicos,11,Turismo,0,0
21,Jefatura De Gabinete De Ministros,4,Servicios Económicos,11,Turismo,0,0
26,Ministerio De Justicia Y Seguridad,4,Servicios Económicos,11,Turismo,0,0
28,Ministerio De Gobierno,4,Servicios Económicos,11,Turismo,0,0
30,Ministerio De Desarrollo Urbano,4,Servicios Económicos,11,Turismo,0,0
35,Ministerio De Ambiente Y Espacio Publico,4,Servicios Económicos,11,Turismo,0,0
40,Ministerio De Salud,4,Servicios Económicos,11,Turismo,0,0
45,Ministerio De Desarrollo Social,4,Servicios Económicos,11,Turismo,0,0
50,Ministerio De Cultura,4,Servicios Económicos,11,Turismo,126485088,99,336
55,Ministerio De Educacion,4,Servicios Económicos,11,Turismo,0,0
60,Ministerio De Hacienda,4,Servicios Económicos,11,Turismo,0,0
65,Ministerio De Desarrollo Economico,4,Servicios Económicos,11,Turismo,0,0
68,Ministerio De Modernización,4,Servicios Económicos,11,Turismo,0,0
90,Secretaria De Gestion Comunal Y Atención Ciudadana,4,Servicios Económicos,11,Turismo,0,0
98,Servicio De La Deuda Publica,4,Servicios Económicos,11,Turismo,0,0
99,Obligaciones A Cargo Del Tesoro,4,Servicios Económicos,11,Turismo,844849,0,664
1,Legislatura De La Ciudad De Buenos Aires,4,Servicios Económicos,12,Industria y Comercio,0,0
2,Auditoria General De La Ciudad De Buenos Aires,4,Servicios Económicos,12,Industria y Comercio,0,0
3,Defensoria Del Pueblo,4,Servicios Económicos,12,Industria y Comercio,0,0
5,Ministerio Publico,4,Servicios Económicos,12,Industria y Comercio,0,0
6,Tribunal Superior De Justicia,4,Servicios Económicos,12,Industria y Comercio,0,0
7,Consejo De La Magistratura,4,Servicios Económicos,12,Industria y Comercio,0,0
8,Sindicatura General De La Ciudad De Buenos Aires,4,Servicios Económicos,12,Industria y Comercio,0,0
9,Procuracion General De La Ciudad,4,Servicios Económicos,12,Industria y Comercio,0,0
20,Jefatura De Gobierno,4,Servicios Económicos,12,Industria y Comercio,0,0
21,Jefatura De Gabinete De Ministros,4,Servicios Económicos,12,Industria y Comercio,0,0
26,Ministerio De Justicia Y Seguridad,4,Servicios Económicos,12,Industria y Comercio,0,0
