id_jurisdiccion,jurisdiccion,id_finalidad,finalidad,id_funcion,funcion,monto,porcentaje
3,Defensoria Del Pueblo,1,Administración Gubernamental,7,Control De La Gestión,536394000,44.00
8,Sindicatura General De La Ciudad De Buenos Aires,1,Administración Gubernamental,7,Control De La Gestión,80355255,6.59
20,Jefatura De Gobierno,1,Administración Gubernamental,7,Control De La Gestión,196068215,16.08
21,Jefatura De Gabinete De Ministros,1,Administración Gubernamental,7,Control De La Gestión,7594397,0.62
99,Servicio De La Deuda Publica,1,Gastos No Clasificados,7,Control De La Gestión,83045350,6.81
20,Jefatura De Gobierno,3,Servicios Sociales,7,Vivienda,29257973,1.41
30,Ministerio De Desarrollo Urbano,3,Servicios Sociales,7,Vivienda,276611905,13.29
65,Ministerio De Desarrollo Economico,3,Servicios Sociales,7,Vivienda,1524235572,73.25
99,Servicio De La Deuda Publica,3,Servicios Sociales,7,Vivienda,250767273,12.05
30,Ministerio De Desarrollo Urbano,3,Servicios Sociales,8,Agua Potable Y Alcantarillado,447680057,43.76
35,Ministerio De Ambiente Y Espacio Publico,3,Servicios Sociales,8,Agua Potable Y Alcantarillado,562944658,55.03
99,Servicio De La Deuda Publica,3,Servicios Sociales,8,Agua Potable Y Alcantarillado,12357784,1.21
60,Ministerio De Hacienda,4,Servicios Económicos,8,Seguros Y Finanzas,6669088,93.87
99,Servicio De La Deuda Publica,4,Servicios Económicos,8,Seguros Y Finanzas,435559,6.13
21,Jefatura De Gabinete De Ministros,4,Servicios Económicos,9,Servicios Urbanos,15000000,0.16
30,Ministerio De Desarrollo Urbano,4,Servicios Económicos,9,Servicios Urbanos,596661357,6.45
35,Ministerio De Ambiente Y Espacio Publico,4,Servicios Económicos,9,Servicios Urbanos,8361602622,90.46
90,Secretaria De Gestion Comunal Y Atenc.Ciudadana,4,Servicios Económicos,9,Servicios Urbanos,169487922,1.83
99,Servicio De La Deuda Publica,4,Servicios Económicos,9,Servicios Urbanos,101008243,1.09
